name,category,priority,website,research_status,canonical_profile,notes
Porter Metrics,Connector/report automation,Tier 2,https://portermetrics.com,researched_2026-05-07,competitors/porter-metrics.md,Low-cost account-based connector + AI/MCP direction.
Cyfe,Dashboard substitute,Tier 2,https://www.cyfe.com,researched_2026-05-07,competitors/cyfe.md,See canonical profile and category research.
Geckoboard,Dashboard substitute,Tier 2,https://www.geckoboard.com,researched_2026-05-07,competitors/geckoboard.md,See canonical profile and category research.
Raven Tools,Direct / SEO agency reporting,Tier 2,https://raventools.com,researched_2026-05-07,competitors/raven-tools.md,See canonical profile and category research.
Octoboard,Direct agency reporting,Tier 2,https://www.octoboard.com,researched_2026-05-07,competitors/octoboard.md,See canonical profile and category research.
ReportGarden,Direct agency reporting,Tier 2,https://reportgarden.com,researched_2026-05-07,competitors/reportgarden.md,See canonical profile and category research.
Metrics Watch,Email/report automation,Tier 2,https://metricswatch.com,researched_2026-05-07,competitors/metrics-watch.md,See canonical profile and category research.
Domo,Enterprise BI,Tier 2,https://www.domo.com,researched_2026-05-07,competitors/domo.md,See canonical profile and category research.
Improvado,Enterprise marketing data,Tier 2,https://improvado.io,researched_2026-05-07,competitors/improvado.md,See canonical profile and category research.
BrightLocal,Local SEO reporting,Tier 2,https://www.brightlocal.com,researched_2026-05-07,competitors/brightlocal.md,See canonical profile and category research.
Two Minute Reports,MCP/report automation threat,Tier 2,https://twominutereports.com,researched_2026-05-07,competitors/two-minute-reports.md,Most directly agency-relevant low-cost MCP/connector threat found.
SE Ranking,SEO suite with agency reporting,Tier 2,https://seranking.com,researched_2026-05-07,competitors/se-ranking.md,"Strong SEO agency reporting with white label, AI summaries, API/MCP."
Semrush,SEO/PPC suite with reporting,Tier 2,https://www.semrush.com,researched_2026-05-07,competitors/semrush.md,SEO/competitive suite with live Semrush MCP; strategic AI-agent signal.
Julius AI,AI-native analytics threat,Watchlist,https://julius.ai,researched_2026-05-07,competitors/julius-ai.md,See canonical profile and category research.
Narrative BI,AI-native analytics threat,Watchlist,https://www.narrativebi.com,researched_2026-05-07,competitors/narrative-bi.md,See canonical profile and category research.
Google Looker / Conversational Analytics / Gemini,AI/BI analytics threat,Watchlist,https://cloud.google.com/looker,researched_2026-05-07,competitors/google-looker-conversational-analytics-gemini.md,See canonical profile and category research.
Microsoft Power BI / Fabric Copilot,AI/BI analytics threat,Watchlist,https://learn.microsoft.com/en-us/fabric/fundamentals/copilot-fabric-overview,researched_2026-05-07,competitors/microsoft-power-bi-fabric-copilot.md,See canonical profile and category research.
Tableau Agent / Tableau Next / Salesforce analytics,AI/BI analytics threat,Watchlist,https://www.salesforce.com/analytics/,researched_2026-05-07,competitors/tableau-agent-tableau-next-salesforce-analytics.md,See canonical profile and category research.
ThoughtSpot / Spotter,AI/BI analytics threat,Watchlist,https://www.thoughtspot.com,researched_2026-05-07,competitors/thoughtspot-spotter.md,See canonical profile and category research.
Polymer,AI/dashboard analytics threat,Watchlist,https://www.polymersearch.com,researched_2026-05-07,competitors/polymer.md,See canonical profile and category research.
HubSpot Marketing Hub,CRM/marketing platform reporting,Watchlist,https://www.hubspot.com/products/marketing,researched_2026-05-07,competitors/hubspot-marketing-hub.md,See canonical profile and category research.
Adverity,Enterprise marketing data,Watchlist,https://www.adverity.com,researched_2026-05-07,competitors/adverity.md,See canonical profile and category research.
Ahrefs,SEO suite with reporting,Watchlist,https://ahrefs.com,researched_2026-05-07,competitors/ahrefs.md,See canonical profile and category research.
Moz Pro,SEO suite with reporting,Watchlist,https://moz.com,researched_2026-05-07,competitors/moz-pro.md,See canonical profile and category research.
Hootsuite,Social reporting suite,Watchlist,https://www.hootsuite.com,researched_2026-05-07,competitors/hootsuite.md,See canonical profile and category research.
Sprout Social,Social reporting suite,Watchlist,https://sproutsocial.com,researched_2026-05-07,competitors/sprout-social.md,See canonical profile and category research.
